aid,cid,app_date,period,installment,n_installments,loan_amount,branch,aid
ins202409180001,0000000141,2024-09-18,202409,200,24,4800,1,ins202409180001
ins202409190001,0000000142,2024-09-19,202409,231,12,2772,3,ins202409190001
ins202409200001,0000000143,2024-09-20,202409,198,12,2376,2,ins202409200001
ins202409210001,0000000144,2024-09-21,202409,88,12,1056,1,ins202409210001
ins202409220001,0000000145,2024-09-22,202409,95,12,1140,2,ins202409220001
ins202409230001,0000000146,2024-09-23,202409,185,36,6660,3,ins202409230001
ins202409240001,0000000147,2024-09-24,202409,251,12,3012,1,ins202409240001
ins202409250001,0000000148,2024-09-25,202409,147,12,1764,3,ins202409250001
ins202409260001,0000000149,2024-09-26,202409,343,12,4116,3,ins202409260001
ins202409270001,0000000150,2024-09-27,202409,100,12,1200,4,ins202409270001
ins202409280001,0000000151,2024-09-28,202409,146,12,1752,2,ins202409280001
ins202409290001,0000000152,2024-09-29,202409,589,12,7068,3,ins202409290001
ins202409300001,0000000153,2024-09-30,202409,318,12,3816,3,ins202409300001
ins202410010001,0000000154,2024-10-01,202410,402,24,9648,2,ins202410010001
ins202410020001,0000000155,2024-10-02,202410,201,36,7236,2,ins202410020001
ins202410030001,0000000156,2024-10-03,202410,241,12,2892,2,ins202410030001
ins202410040001,0000000157,2024-10-04,202410,243,36,8748,4,ins202410040001
ins202410050001,0000000158,2024-10-05,202410,127,12,1524,3,ins202410050001
ins202410060001,0000000159,2024-10-06,202410,113,12,1356,3,ins202410060001
ins202410070001,0000000160,2024-10-07,202410,186,12,2232,1,ins202410070001
ins202410080001,0000000161,2024-10-08,202410,105,36,3780,4,ins202410080001
ins202410090001,0000000162,2024-10-09,202410,328,36,11808,4,ins202410090001
ins202410100001,0000000163,2024-10-10,202410,202,12,2424,1,ins202410100001
ins202410110001,0000000164,2024-10-11,202410,124,36,4464,3,ins202410110001
ins202410120001,0000000165,2024-10-12,202410,164,12,1968,3,ins202410120001
ins202410130001,0000000166,2024-10-13,202410,259,24,6216,4,ins202410130001
ins202410140001,0000000167,2024-10-14,202410,98,12,1176,2,ins202410140001
ins202410150001,0000000168,2024-10-15,202410,224,12,2688,3,ins202410150001
ins202410160001,0000000169,2024-10-16,202410,515,36,18540,1,ins202410160001
ins202410170001,0000000170,2024-10-17,202410,309,36,11124,3,ins202410170001
ins202410180001,0000000171,2024-10-18,202410,172,12,2064,1,ins202410180001
ins202410190001,0000000172,2024-10-19,202410,270,36,9720,3,ins202410190001
ins202410200001,0000000173,2024-10-20,202410,314,36,11304,3,ins202410200001
ins202410210001,0000000174,2024-10-21,202410,456,24,10944,2,ins202410210001
ins202410220001,0000000175,2024-10-22,202410,96,24,2304,4,ins202410220001
ins202410230001,0000000176,2024-10-23,202410,130,36,4680,2,ins202410230001
ins202410240001,0000000177,2024-10-24,202410,200,24,4800,2,ins202410240001
ins202410250001,0000000178,2024-10-25,202410,313,12,3756,3,ins202410250001
ins202410260001,0000000179,2024-10-26,202410,98,12,1176,3,ins202410260001
ins202410270001,0000000180,2024-10-27,202410,203,36,7308,3,ins202410270001
ins202410280001,0000000181,2024-10-28,202410,123,36,4428,3,ins202410280001
ins202410290001,0000000182,2024-10-29,202410,158,24,3792,4,ins202410290001
ins202410300001,0000000183,2024-10-30,202410,468,12,5616,3,ins202410300001
ins202410310001,0000000184,2024-10-31,202410,230,24,5520,2,ins202410310001
ins202411010001,0000000185,2024-11-01,202411,286,36,10296,3,ins202411010001
ins202411020001,0000000186,2024-11-02,202411,90,36,3240,3,ins202411020001
ins202411030001,0000000187,2024-11-03,202411,395,24,9480,4,ins202411030001
ins202411040001,0000000188,2024-11-04,202411,290,24,6960,1,ins202411040001
ins202411050001,0000000189,2024-11-05,202411,182,12,2184,2,ins202411050001
ins202411060001,0000000190,2024-11-06,202411,132,12,1584,2,ins202411060001
ins202411070001,0000000191,2024-11-07,202411,285,12,3420,3,ins202411070001
ins202411080001,0000000192,2024-11-08,202411,279,36,10044,1,ins202411080001
ins202411090001,0000000193,2024-11-09,202411,88,12,1056,4,ins202411090001
ins202411100001,0000000194,2024-11-10,202411,291,12,3492,3,ins202411100001
ins202411110001,0000000195,2024-11-11,202411,121,36,4356,2,ins202411110001
ins202411120001,0000000196,2024-11-12,202411,149,24,3576,2,ins202411120001
ins202411130001,0000000197,2024-11-13,202411,194,12,2328,2,ins202411130001
ins202411140001,0000000198,2024-11-14,202411,217,24,5208,2,ins202411140001
ins202411150001,0000000199,2024-11-15,202411,216,24,5184,1,ins202411150001
ins202411160001,0000000200,2024-11-16,202411,411,12,4932,3,ins202411160001
ins202411170001,0000000201,2024-11-17,202411,517,36,18612,4,ins202411170001
ins202411180001,0000000202,2024-11-18,202411,344,24,8256,3,ins202411180001
ins202411190001,0000000203,2024-11-19,202411,481,12,5772,2,ins202411190001
ins202411200001,0000000204,2024-11-20,202411,246,36,8856,4,ins202411200001
ins202411210001,0000000205,2024-11-21,202411,303,12,3636,3,ins202411210001
ins202411220001,0000000206,2024-11-22,202411,105,12,1260,2,ins202411220001
ins202411230001,0000000207,2024-11-23,202411,173,12,2076,1,ins202411230001
ins202411240001,0000000208,2024-11-24,202411,214,36,7704,1,ins202411240001
ins202411250001,0000000209,2024-11-25,202411,122,12,1464,2,ins202411250001
ins202411260001,0000000210,2024-11-26,202411,414,12,4968,3,ins202411260001
ins202411270001,0000000211,2024-11-27,202411,257,24,6168,3,ins202411270001
ins202411280001,0000000212,2024-11-28,202411,163,36,5868,4,ins202411280001
ins202411290001,0000000213,2024-11-29,202411,108,24,2592,2,ins202411290001
ins202411300001,0000000214,2024-11-30,202411,205,24,4920,3,ins202411300001
ins202412010001,0000000215,2024-12-01,202412,414,12,4968,3,ins202412010001
ins202412020001,0000000216,2024-12-02,202412,104,12,1248,1,ins202412020001
ins202412030001,0000000217,2024-12-03,202412,352,12,4224,4,ins202412030001
ins202412040001,0000000218,2024-12-04,202412,265,24,6360,4,ins202412040001
ins202412050001,0000000219,2024-12-05,202412,157,12,1884,2,ins202412050001
ins202412060001,0000000220,2024-12-06,202412,403,12,4836,2,ins202412060001
ins202412070001,0000000221,2024-12-07,202412,175,24,4200,3,ins202412070001
ins202412080001,0000000222,2024-12-08,202412,288,24,6912,2,ins202412080001
ins202412090001,0000000223,2024-12-09,202412,114,12,1368,3,ins202412090001
ins202412100001,0000000224,2024-12-10,202412,184,12,2208,3,ins202412100001
ins202412110001,0000000225,2024-12-11,202412,190,12,2280,3,ins202412110001
ins202412120001,0000000226,2024-12-12,202412,127,12,1524,4,ins202412120001
ins202412130001,0000000227,2024-12-13,202412,112,12,1344,3,ins202412130001
ins202412140001,0000000228,2024-12-14,202412,371,12,4452,3,ins202412140001
ins202412150001,0000000229,2024-12-15,202412,371,24,8904,4,ins202412150001
ins202412160001,0000000230,2024-12-16,202412,381,12,4572,2,ins202412160001
ins202412170001,0000000231,2024-12-17,202412,149,12,1788,1,ins202412170001
ins202412180001,0000000232,2024-12-18,202412,214,12,2568,3,ins202412180001
ins202412190001,0000000233,2024-12-19,202412,243,12,2916,4,ins202412190001
ins202412200001,0000000234,2024-12-20,202412,194,12,2328,3,ins202412200001
ins202412210001,0000000235,2024-12-21,202412,193,36,6948,4,ins202412210001
ins202412220001,0000000236,2024-12-22,202412,440,24,10560,2,ins202412220001
ins202412230001,0000000237,2024-12-23,202412,194,12,2328,3,ins202412230001
ins202412240001,0000000238,2024-12-24,202412,94,12,1128,2,ins202412240001
ins202412250001,0000000239,2024-12-25,202412,331,12,3972,3,ins202412250001
ins202412260001,0000000240,2024-12-26,202412,108,12,1296,1,ins202412260001
ins202412270001,0000000241,2024-12-27,202412,496,24,11904,1,ins202412270001
ins202412280001,0000000242,2024-12-28,202412,161,36,5796,3,ins202412280001
ins202412290001,0000000243,2024-12-29,202412,237,12,2844,3,ins202412290001
ins202412300001,0000000244,2024-12-30,202412,122,24,2928,2,ins202412300001
ins202412310001,0000000245,2024-12-31,202412,449,24,10776,3,ins202412310001
