aid,cid,app_date,period,installment,n_installments,loan_amount,branch,aid
ins202406050002,0000000072,2024-06-05,202406,658,12,7896,2,ins202406050002
ins202406060001,0000000073,2024-06-06,202406,145,24,3480,2,ins202406060001
ins202406060002,0000000074,2024-06-06,202406,469,12,5628,3,ins202406060002
ins202406070001,0000000075,2024-06-07,202406,129,12,1548,4,ins202406070001
ins202406070002,0000000076,2024-06-07,202406,275,12,3300,4,ins202406070002
ins202406080001,0000000077,2024-06-08,202406,147,12,1764,2,ins202406080001
ins202406080002,0000000078,2024-06-08,202406,248,12,2976,2,ins202406080002
ins202406090001,0000000079,2024-06-09,202406,174,12,2088,4,ins202406090001
ins202406090002,0000000080,2024-06-09,202406,320,12,3840,3,ins202406090002
ins202406100001,0000000081,2024-06-10,202406,94,12,1128,2,ins202406100001
ins202406100002,0000000082,2024-06-10,202406,170,12,2040,3,ins202406100002
ins202406110001,0000000083,2024-06-11,202406,197,12,2364,2,ins202406110001
ins202406110002,0000000084,2024-06-11,202406,105,24,2520,1,ins202406110002
ins202406120001,0000000085,2024-06-12,202406,94,12,1128,4,ins202406120001
ins202406120002,0000000086,2024-06-12,202406,285,12,3420,4,ins202406120002
ins202406130001,0000000087,2024-06-13,202406,158,12,1896,2,ins202406130001
ins202406130002,0000000088,2024-06-13,202406,230,36,8280,3,ins202406130002
ins202406140001,0000000089,2024-06-14,202406,251,12,3012,3,ins202406140001
ins202406140002,0000000090,2024-06-14,202406,205,12,2460,3,ins202406140002
ins202406150001,0000000091,2024-06-15,202406,265,12,3180,2,ins202406150001
ins202406150002,0000000092,2024-06-15,202406,121,36,4356,3,ins202406150002
ins202406160001,0000000093,2024-06-16,202406,382,24,9168,2,ins202406160001
ins202406160002,0000000094,2024-06-16,202406,248,24,5952,3,ins202406160002
ins202406170001,0000000095,2024-06-17,202406,241,12,2892,2,ins202406170001
ins202406170002,0000000096,2024-06-17,202406,131,12,1572,3,ins202406170002
ins202406180001,0000000097,2024-06-18,202406,320,36,11520,3,ins202406180001
ins202406180002,0000000098,2024-06-18,202406,153,12,1836,3,ins202406180002
ins202406190001,0000000099,2024-06-19,202406,151,36,5436,3,ins202406190001
ins202406190002,0000000100,2024-06-19,202406,290,12,3480,3,ins202406190002
ins202406200001,0000000101,2024-06-20,202406,129,24,3096,3,ins202406200001
ins202406200002,0000000102,2024-06-20,202406,129,36,4644,3,ins202406200002
ins202406210001,0000000103,2024-06-21,202406,189,24,4536,3,ins202406210001
ins202406210002,0000000104,2024-06-21,202406,459,24,11016,4,ins202406210002
ins202406220001,0000000105,2024-06-22,202406,265,24,6360,4,ins202406220001
ins202406220002,0000000106,2024-06-22,202406,292,24,7008,1,ins202406220002
ins202406230001,0000000107,2024-06-23,202406,124,12,1488,1,ins202406230001
ins202406230002,0000000108,2024-06-23,202406,164,12,1968,2,ins202406230002
ins202406240001,0000000109,2024-06-24,202406,169,12,2028,2,ins202406240001
ins202406240002,0000000110,2024-06-24,202406,300,12,3600,3,ins202406240002
ins202406250001,0000000111,2024-06-25,202406,215,24,5160,2,ins202406250001
ins202406250002,0000000112,2024-06-25,202406,308,12,3696,2,ins202406250002
ins202406260001,0000000113,2024-06-26,202406,119,24,2856,3,ins202406260001
ins202406260002,0000000114,2024-06-26,202406,113,36,4068,4,ins202406260002
ins202406270001,0000000115,2024-06-27,202406,178,12,2136,3,ins202406270001
ins202406270002,0000000116,2024-06-27,202406,377,12,4524,3,ins202406270002
ins202406280001,0000000117,2024-06-28,202406,291,24,6984,2,ins202406280001
ins202406280002,0000000118,2024-06-28,202406,230,12,2760,4,ins202406280002
ins202406290001,0000000119,2024-06-29,202406,142,12,1704,1,ins202406290001
ins202406290002,0000000120,2024-06-29,202406,92,24,2208,3,ins202406290002
ins202406300001,0000000121,2024-06-30,202406,361,12,4332,4,ins202406300001
ins202406300002,0000000122,2024-06-30,202406,662,24,15888,2,ins202406300002
ins202407010001,0000000123,2024-07-01,202407,183,36,6588,4,ins202407010001
ins202407010002,0000000124,2024-07-01,202407,269,12,3228,3,ins202407010002
ins202407020001,0000000125,2024-07-02,202407,357,36,12852,3,ins202407020001
ins202407020002,0000000126,2024-07-02,202407,221,12,2652,3,ins202407020002
ins202407030001,0000000127,2024-07-03,202407,297,12,3564,3,ins202407030001
ins202407030002,0000000128,2024-07-03,202407,116,12,1392,1,ins202407030002
ins202407040001,0000000129,2024-07-04,202407,224,12,2688,3,ins202407040001
ins202407040002,0000000130,2024-07-04,202407,107,36,3852,2,ins202407040002
ins202407050001,0000000131,2024-07-05,202407,169,12,2028,1,ins202407050001
ins202407050002,0000000132,2024-07-05,202407,219,12,2628,3,ins202407050002
ins202407060001,0000000133,2024-07-06,202407,279,12,3348,3,ins202407060001
ins202407060002,0000000134,2024-07-06,202407,273,24,6552,3,ins202407060002
ins202407070001,0000000135,2024-07-07,202407,385,24,9240,3,ins202407070001
ins202407070002,0000000136,2024-07-07,202407,155,12,1860,3,ins202407070002
ins202407080001,0000000137,2024-07-08,202407,99,12,1188,1,ins202407080001
ins202407080002,0000000138,2024-07-08,202407,425,36,15300,3,ins202407080002
ins202407090001,0000000139,2024-07-09,202407,219,24,5256,2,ins202407090001
ins202407090002,0000000140,2024-07-09,202407,267,12,3204,2,ins202407090002
ins202407100001,0000000141,2024-07-10,202407,298,24,7152,2,ins202407100001
ins202407100002,0000000142,2024-07-10,202407,172,12,2064,2,ins202407100002
ins202407110001,0000000143,2024-07-11,202407,159,24,3816,2,ins202407110001
ins202407110002,0000000144,2024-07-11,202407,90,36,3240,3,ins202407110002
ins202407120001,0000000145,2024-07-12,202407,120,12,1440,1,ins202407120001
ins202407120002,0000000146,2024-07-12,202407,298,12,3576,3,ins202407120002
ins202407130001,0000000147,2024-07-13,202407,90,36,3240,2,ins202407130001
ins202407130002,0000000148,2024-07-13,202407,112,12,1344,2,ins202407130002
ins202407140001,0000000149,2024-07-14,202407,237,12,2844,1,ins202407140001
ins202407140002,0000000150,2024-07-14,202407,306,12,3672,3,ins202407140002
ins202407150001,0000000151,2024-07-15,202407,117,36,4212,4,ins202407150001
ins202407150002,0000000152,2024-07-15,202407,415,12,4980,3,ins202407150002
ins202407160001,0000000153,2024-07-16,202407,328,12,3936,3,ins202407160001
ins202407160002,0000000154,2024-07-16,202407,347,12,4164,2,ins202407160002
ins202407170001,0000000155,2024-07-17,202407,222,12,2664,2,ins202407170001
ins202407170002,0000000156,2024-07-17,202407,197,24,4728,4,ins202407170002
ins202407180001,0000000157,2024-07-18,202407,284,36,10224,3,ins202407180001
ins202407180002,0000000158,2024-07-18,202407,107,12,1284,3,ins202407180002
ins202407190001,0000000159,2024-07-19,202407,158,12,1896,1,ins202407190001
ins202407190002,0000000160,2024-07-19,202407,216,24,5184,3,ins202407190002
ins202407200001,0000000161,2024-07-20,202407,507,12,6084,2,ins202407200001
ins202407200002,0000000162,2024-07-20,202407,217,12,2604,2,ins202407200002
ins202407210001,0000000163,2024-07-21,202407,271,12,3252,2,ins202407210001
ins202407210002,0000000164,2024-07-21,202407,296,12,3552,3,ins202407210002
ins202407220001,0000000165,2024-07-22,202407,235,36,8460,4,ins202407220001
ins202407220002,0000000166,2024-07-22,202407,162,36,5832,3,ins202407220002
ins202407230001,0000000167,2024-07-23,202407,278,24,6672,2,ins202407230001
ins202407230002,0000000168,2024-07-23,202407,262,12,3144,3,ins202407230002
ins202407240001,0000000169,2024-07-24,202407,228,24,5472,3,ins202407240001
ins202407240002,0000000170,2024-07-24,202407,164,12,1968,3,ins202407240002
ins202407250001,0000000171,2024-07-25,202407,259,24,6216,4,ins202407250001
ins202407250002,0000000172,2024-07-25,202407,98,12,1176,2,ins202407250002
ins202407260001,0000000173,2024-07-26,202407,224,12,2688,3,ins202407260001
ins202407260002,0000000174,2024-07-26,202407,515,36,18540,1,ins202407260002
ins202407270001,0000000175,2024-07-27,202407,309,36,11124,3,ins202407270001
ins202407270002,0000000176,2024-07-27,202407,172,12,2064,1,ins202407270002
ins202407280001,0000000177,2024-07-28,202407,270,36,9720,3,ins202407280001
ins202407280002,0000000178,2024-07-28,202407,314,36,11304,3,ins202407280002
ins202407290001,0000000179,2024-07-29,202407,456,24,10944,2,ins202407290001
ins202407290002,0000000180,2024-07-29,202407,96,24,2304,4,ins202407290002
ins202407300001,0000000181,2024-07-30,202407,130,36,4680,2,ins202407300001
ins202407300002,0000000182,2024-07-30,202407,200,24,4800,2,ins202407300002
ins202407310001,0000000183,2024-07-31,202407,313,12,3756,3,ins202407310001
ins202407310002,0000000184,2024-07-31,202407,98,12,1176,3,ins202407310002
ins202408010001,0000000185,2024-08-01,202408,218,24,5232,3,ins202408010001
ins202408010002,0000000186,2024-08-01,202408,268,12,3216,3,ins202408010002
ins202408020001,0000000187,2024-08-02,202408,482,12,5784,2,ins202408020001
ins202408020002,0000000188,2024-08-02,202408,283,12,3396,2,ins202408020002
ins202408030001,0000000189,2024-08-03,202408,138,12,1656,3,ins202408030001
ins202408030002,0000000190,2024-08-03,202408,110,12,1320,1,ins202408030002
ins202408040001,0000000191,2024-08-04,202408,188,12,2256,4,ins202408040001
ins202408040002,0000000192,2024-08-04,202408,192,36,6912,3,ins202408040002
ins202408050001,0000000193,2024-08-05,202408,349,12,4188,2,ins202408050001
ins202408050002,0000000194,2024-08-05,202408,335,36,12060,3,ins202408050002
ins202408060001,0000000195,2024-08-06,202408,576,24,13824,4,ins202408060001
ins202408060002,0000000196,2024-08-06,202408,195,24,4680,3,ins202408060002
ins202408070001,0000000197,2024-08-07,202408,213,12,2556,3,ins202408070001
ins202408070002,0000000198,2024-08-07,202408,258,12,3096,1,ins202408070002
ins202408080001,0000000199,2024-08-08,202408,335,12,4020,2,ins202408080001
ins202408080002,0000000200,2024-08-08,202408,340,36,12240,4,ins202408080002
ins202408090001,0000000201,2024-08-09,202408,294,24,7056,4,ins202408090001
ins202408090002,0000000202,2024-08-09,202408,453,12,5436,1,ins202408090002
ins202408100001,0000000203,2024-08-10,202408,236,12,2832,3,ins202408100001
ins202408100002,0000000204,2024-08-10,202408,395,36,14220,3,ins202408100002
ins202408110001,0000000205,2024-08-11,202408,237,36,8532,4,ins202408110001
ins202408110002,0000000206,2024-08-11,202408,210,12,2520,1,ins202408110002
ins202408120001,0000000207,2024-08-12,202408,174,24,4176,3,ins202408120001
ins202408120002,0000000208,2024-08-12,202408,436,12,5232,3,ins202408120002
ins202408130001,0000000209,2024-08-13,202408,474,12,5688,2,ins202408130001
ins202408130002,0000000210,2024-08-13,202408,155,12,1860,2,ins202408130002
ins202408140001,0000000211,2024-08-14,202408,129,12,1548,3,ins202408140001
ins202408140002,0000000212,2024-08-14,202408,441,36,15876,1,ins202408140002
ins202408150001,0000000213,2024-08-15,202408,435,12,5220,4,ins202408150001
ins202408150002,0000000214,2024-08-15,202408,158,24,3792,3,ins202408150002
ins202408160001,0000000215,2024-08-16,202408,401,12,4812,2,ins202408160001
ins202408160002,0000000216,2024-08-16,202408,283,12,3396,2,ins202408160002
ins202408170001,0000000217,2024-08-17,202408,270,36,9720,2,ins202408170001
ins202408170002,0000000218,2024-08-17,202408,437,12,5244,3,ins202408170002
ins202408180001,0000000219,2024-08-18,202408,297,12,3564,4,ins202408180001
ins202408180002,0000000220,2024-08-18,202408,373,12,4476,2,ins202408180002
ins202408190001,0000000221,2024-08-19,202408,297,12,3564,1,ins202408190001
ins202408190002,0000000222,2024-08-19,202408,247,36,8892,1,ins202408190002
ins202408200001,0000000223,2024-08-20,202408,103,36,3708,1,ins202408200001
ins202408200002,0000000224,2024-08-20,202408,110,24,2640,4,ins202408200002
ins202408210001,0000000225,2024-08-21,202408,199,12,2388,2,ins202408210001
ins202408210002,0000000226,2024-08-21,202408,112,36,4032,2,ins202408210002
ins202408220001,0000000227,2024-08-22,202408,100,12,1200,2,ins202408220001
ins202408220002,0000000228,2024-08-22,202408,346,12,4152,2,ins202408220002
ins202408230001,0000000229,2024-08-23,202408,268,12,3216,3,ins202408230001
ins202408230002,0000000230,2024-08-23,202408,156,36,5616,2,ins202408230002
ins202408240001,0000000231,2024-08-24,202408,439,12,5268,2,ins202408240001
ins202408240002,0000000232,2024-08-24,202408,389,24,9336,3,ins202408240002
ins202408250001,0000000233,2024-08-25,202408,190,36,6840,3,ins202408250001
ins202408250002,0000000234,2024-08-25,202408,94,12,1128,2,ins202408250002
ins202408260001,0000000235,2024-08-26,202408,160,12,1920,3,ins202408260001
ins202408260002,0000000236,2024-08-26,202408,243,12,2916,3,ins202408260002
ins202408270001,0000000237,2024-08-27,202408,122,36,4392,3,ins202408270001
ins202408270002,0000000238,2024-08-27,202408,290,12,3480,2,ins202408270002
ins202408280001,0000000239,2024-08-28,202408,126,12,1512,3,ins202408280001
ins202408280002,0000000240,2024-08-28,202408,395,12,4740,2,ins202408280002
ins202408290001,0000000241,2024-08-29,202408,439,12,5268,3,ins202408290001
ins202408290002,0000000242,2024-08-29,202408,176,12,2112,2,ins202408290002
ins202408300001,0000000243,2024-08-30,202408,350,36,12600,3,ins202408300001
ins202408300002,0000000244,2024-08-30,202408,214,12,2568,4,ins202408300002
ins202408310001,0000000245,2024-08-31,202408,170,12,2040,3,ins202408310001
ins202408310002,0000000246,2024-08-31,202408,130,36,4680,4,ins202408310002
ins202409010001,0000000247,2024-09-01,202409,407,24,9768,2,ins202409010001
ins202409010002,0000000248,2024-09-01,202409,104,24,2496,2,ins202409010002
ins202409020001,0000000249,2024-09-02,202409,259,36,9324,3,ins202409020001
ins202409020002,0000000250,2024-09-02,202409,233,24,5592,3,ins202409020002
ins202409030001,0000000251,2024-09-03,202409,113,12,1356,1,ins202409030001
ins202409030002,0000000252,2024-09-03,202409,227,12,2724,1,ins202409030002
ins202409040001,0000000253,2024-09-04,202409,250,36,9000,1,ins202409040001
ins202409040002,0000000254,2024-09-04,202409,644,12,7728,3,ins202409040002
ins202409050001,0000000255,2024-09-05,202409,329,36,11844,4,ins202409050001
ins202409050002,0000000256,2024-09-05,202409,132,36,4752,4,ins202409050002
ins202409060001,0000000257,2024-09-06,202409,125,36,4500,3,ins202409060001
ins202409060002,0000000258,2024-09-06,202409,417,24,10008,4,ins202409060002
ins202409070001,0000000259,2024-09-07,202409,220,36,7920,3,ins202409070001
ins202409070002,0000000260,2024-09-07,202409,254,24,6096,4,ins202409070002
ins202409080001,0000000261,2024-09-08,202409,182,24,4368,1,ins202409080001
ins202409080002,0000000262,2024-09-08,202409,393,12,4716,2,ins202409080002
ins202409090001,0000000263,2024-09-09,202409,406,36,14616,2,ins202409090001
ins202409090002,0000000264,2024-09-09,202409,133,36,4788,3,ins202409090002
ins202409100001,0000000265,2024-09-10,202409,346,12,4152,1,ins202409100001
ins202409100002,0000000266,2024-09-10,202409,130,24,3120,3,ins202409100002
ins202409110001,0000000267,2024-09-11,202409,99,12,1188,1,ins202409110001
ins202409110002,0000000268,2024-09-11,202409,360,24,8640,3,ins202409110002
ins202409120001,0000000269,2024-09-12,202409,254,12,3048,2,ins202409120001
ins202409120002,0000000270,2024-09-12,202409,108,12,1296,3,ins202409120002
ins202409130001,0000000271,2024-09-13,202409,215,12,2580,3,ins202409130001
ins202409130002,0000000272,2024-09-13,202409,223,36,8028,2,ins202409130002
ins202409140001,0000000273,2024-09-14,202409,408,24,9792,2,ins202409140001
ins202409140002,0000000274,2024-09-14,202409,249,24,5976,3,ins202409140002
ins202409150001,0000000275,2024-09-15,202409,344,12,4128,3,ins202409150001
ins202409150002,0000000276,2024-09-15,202409,125,12,1500,2,ins202409150002
ins202409160001,0000000277,2024-09-16,202409,267,12,3204,2,ins202409160001
ins202409160002,0000000278,2024-09-16,202409,181,36,6516,4,ins202409160002
ins202409170001,0000000279,2024-09-17,202409,427,12,5124,2,ins202409170001
ins202409170002,0000000280,2024-09-17,202409,407,36,14652,2,ins202409170002
ins202409180001,0000000281,2024-09-18,202409,334,12,4008,3,ins202409180001
ins202409180002,0000000282,2024-09-18,202409,167,36,6012,3,ins202409180002
ins202409190001,0000000283,2024-09-19,202409,286,24,6864,4,ins202409190001
ins202409190002,0000000284,2024-09-19,202409,156,12,1872,1,ins202409190002
ins202409200001,0000000285,2024-09-20,202409,248,12,2976,2,ins202409200001
ins202409200002,0000000286,2024-09-20,202409,134,36,4824,3,ins202409200002
ins202409210001,0000000287,2024-09-21,202409,197,12,2364,3,ins202409210001
ins202409210002,0000000288,2024-09-21,202409,100,24,2400,1,ins202409210002
ins202409220001,0000000289,2024-09-22,202409,120,12,1440,1,ins202409220001
ins202409220002,0000000290,2024-09-22,202409,178,36,6408,2,ins202409220002
ins202409230001,0000000291,2024-09-23,202409,441,12,5292,3,ins202409230001
ins202409230002,0000000292,2024-09-23,202409,283,12,3396,2,ins202409230002
ins202409240001,0000000293,2024-09-24,202409,361,12,4332,2,ins202409240001
ins202409240002,0000000294,2024-09-24,202409,247,12,2964,2,ins202409240002
ins202409250001,0000000295,2024-09-25,202409,284,12,3408,2,ins202409250001
ins202409250002,0000000296,2024-09-25,202409,153,24,3672,3,ins202409250002
ins202409260001,0000000297,2024-09-26,202409,226,36,8136,2,ins202409260001
ins202409260002,0000000298,2024-09-26,202409,99,12,1188,1,ins202409260002
ins202409270001,0000000299,2024-09-27,202409,294,12,3528,3,ins202409270001
ins202409270002,0000000300,2024-09-27,202409,141,36,5076,1,ins202409270002
ins202409280001,0000000301,2024-09-28,202409,303,24,7272,4,ins202409280001
ins202409280002,0000000302,2024-09-28,202409,697,12,8364,3,ins202409280002
ins202409290001,0000000303,2024-09-29,202409,152,12,1824,3,ins202409290001
ins202409290002,0000000304,2024-09-29,202409,99,12,1188,1,ins202409290002
ins202409300001,0000000305,2024-09-30,202409,219,24,5256,4,ins202409300001
ins202409300002,0000000306,2024-09-30,202409,131,12,1572,1,ins202409300002
ins202410010001,0000000307,2024-10-01,202410,225,36,8100,4,ins202410010001
ins202410010002,0000000308,2024-10-01,202410,161,12,1932,2,ins202410010002
ins202410020001,0000000309,2024-10-02,202410,122,12,1464,3,ins202410020001
ins202410020002,0000000310,2024-10-02,202410,167,24,4008,4,ins202410020002
ins202410030001,0000000311,2024-10-03,202410,160,12,1920,1,ins202410030001
ins202410030002,0000000312,2024-10-03,202410,263,12,3156,3,ins202410030002
ins202410040001,0000000313,2024-10-04,202410,131,36,4716,3,ins202410040001
ins202410040002,0000000314,2024-10-04,202410,232,24,5568,2,ins202410040002
ins202410050001,0000000315,2024-10-05,202410,455,24,10920,3,ins202410050001
ins202410050002,0000000316,2024-10-05,202410,228,12,2736,2,ins202410050002
ins202410060001,0000000317,2024-10-06,202410,224,24,5376,2,ins202410060001
ins202410060002,0000000318,2024-10-06,202410,434,12,5208,2,ins202410060002
ins202410070001,0000000319,2024-10-07,202410,193,12,2316,2,ins202410070001
ins202410070002,0000000320,2024-10-07,202410,115,24,2760,4,ins202410070002
ins202410080001,0000000321,2024-10-08,202410,147,12,1764,2,ins202410080001
ins202410080002,0000000322,2024-10-08,202410,212,12,2544,3,ins202410080002
ins202410090001,0000000323,2024-10-09,202410,369,36,13284,4,ins202410090001
ins202410090002,0000000324,2024-10-09,202410,185,36,6660,3,ins202410090002
ins202410100001,0000000325,2024-10-10,202410,144,12,1728,2,ins202410100001
ins202410100002,0000000326,2024-10-10,202410,138,36,4968,2,ins202410100002
ins202410110001,0000000327,2024-10-11,202410,274,12,3288,2,ins202410110001
ins202410110002,0000000328,2024-10-11,202410,431,24,10344,4,ins202410110002
ins202410120001,0000000329,2024-10-12,202410,329,12,3948,2,ins202410120001
ins202410120002,0000000330,2024-10-12,202410,373,12,4476,4,ins202410120002
ins202410130001,0000000331,2024-10-13,202410,287,12,3444,1,ins202410130001
ins202410130002,0000000332,2024-10-13,202410,386,12,4632,3,ins202410130002
ins202410140001,0000000333,2024-10-14,202410,222,12,2664,2,ins202410140001
ins202410140002,0000000334,2024-10-14,202410,117,36,4212,3,ins202410140002
ins202410150001,0000000335,2024-10-15,202410,339,12,4068,3,ins202410150001
ins202410150002,0000000336,2024-10-15,202410,96,12,1152,2,ins202410150002
ins202410160001,0000000337,2024-10-16,202410,165,24,3960,4,ins202410160001
ins202410160002,0000000338,2024-10-16,202410,129,12,1548,4,ins202410160002
ins202410170001,0000000339,2024-10-17,202410,335,24,8040,3,ins202410170001
ins202410170002,0000000340,2024-10-17,202410,133,12,1596,1,ins202410170002
ins202410180001,0000000341,2024-10-18,202410,220,36,7920,2,ins202410180001
ins202410180002,0000000342,2024-10-18,202410,235,36,8460,4,ins202410180002
ins202410190001,0000000343,2024-10-19,202410,132,12,1584,2,ins202410190001
ins202410190002,0000000344,2024-10-19,202410,174,12,2088,2,ins202410190002
ins202410200001,0000000345,2024-10-20,202410,211,12,2532,3,ins202410200001
ins202410200002,0000000346,2024-10-20,202410,288,12,3456,4,ins202410200002
ins202410210001,0000000347,2024-10-21,202410,107,36,3852,3,ins202410210001
ins202410210002,0000000348,2024-10-21,202410,153,12,1836,2,ins202410210002
ins202410220001,0000000349,2024-10-22,202410,406,12,4872,2,ins202410220001
ins202410220002,0000000350,2024-10-22,202410,291,12,3492,3,ins202410220002
ins202410230001,0000000351,2024-10-23,202410,300,36,10800,4,ins202410230001
ins202410230002,0000000352,2024-10-23,202410,193,24,4632,2,ins202410230002
ins202410240001,0000000353,2024-10-24,202410,95,12,1140,3,ins202410240001
ins202410240002,0000000354,2024-10-24,202410,197,36,7092,3,ins202410240002
ins202410250001,0000000355,2024-10-25,202410,513,12,6156,2,ins202410250001
ins202410250002,0000000356,2024-10-25,202410,286,36,10296,3,ins202410250002
ins202410260001,0000000357,2024-10-26,202410,183,12,2196,2,ins202410260001
ins202410260002,0000000358,2024-10-26,202410,91,24,2184,2,ins202410260002
ins202410270001,0000000359,2024-10-27,202410,318,24,7632,3,ins202410270001
ins202410270002,0000000360,2024-10-27,202410,279,24,6696,4,ins202410270002
ins202410280001,0000000361,2024-10-28,202410,141,12,1692,4,ins202410280001
ins202410280002,0000000362,2024-10-28,202410,145,12,1740,2,ins202410280002
ins202410290001,0000000363,2024-10-29,202410,267,12,3204,3,ins202410290001
ins202410290002,0000000364,2024-10-29,202410,118,12,1416,3,ins202410290002
ins202410300001,0000000365,2024-10-30,202410,256,12,3072,2,ins202410300001
ins202410300002,0000000366,2024-10-30,202410,175,12,2100,3,ins202410300002
