feature_name,feature_family,source_columns,formula,description,availability_time,source_window,uses_target,uses_future_behavior,allowed_for_origination_pd,allowed_for_behavioral_pd,allowed_for_profit,leakage_risk,reason_if_not_allowed_for_pd
act_paid_installments_m2,ORIGINAL_BEHAVIORAL,act_paid_installments_m2,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m2,False,True,False,True,False,medium,"early behavioral (m1-m3), post-origination"
act_paid_installments_m3,ORIGINAL_BEHAVIORAL,act_paid_installments_m3,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m3,False,True,False,True,False,medium,"early behavioral (m1-m3), post-origination"
act_paid_installments_m4,ORIGINAL_BEHAVIORAL,act_paid_installments_m4,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m4,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
act_paid_installments_m5,ORIGINAL_BEHAVIORAL,act_paid_installments_m5,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m5,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
act_paid_installments_m6,ORIGINAL_BEHAVIORAL,act_paid_installments_m6,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m6,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
act_paid_installments_m7,ORIGINAL_BEHAVIORAL,act_paid_installments_m7,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m7,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
act_paid_installments_m8,ORIGINAL_BEHAVIORAL,act_paid_installments_m8,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m8,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
act_paid_installments_m9,ORIGINAL_BEHAVIORAL,act_paid_installments_m9,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m9,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
act_paid_installments_m10,ORIGINAL_BEHAVIORAL,act_paid_installments_m10,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m10,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
act_paid_installments_m11,ORIGINAL_BEHAVIORAL,act_paid_installments_m11,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m11,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
act_paid_installments_m12,ORIGINAL_BEHAVIORAL,act_paid_installments_m12,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m12,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
act_utl_m2,ORIGINAL_BEHAVIORAL,act_utl_m2,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m2,False,True,False,True,False,medium,"early behavioral (m1-m3), post-origination"
act_utl_m3,ORIGINAL_BEHAVIORAL,act_utl_m3,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m3,False,True,False,True,False,medium,"early behavioral (m1-m3), post-origination"
act_utl_m4,ORIGINAL_BEHAVIORAL,act_utl_m4,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m4,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
act_utl_m5,ORIGINAL_BEHAVIORAL,act_utl_m5,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m5,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
act_utl_m6,ORIGINAL_BEHAVIORAL,act_utl_m6,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m6,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
act_utl_m7,ORIGINAL_BEHAVIORAL,act_utl_m7,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m7,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
act_utl_m8,ORIGINAL_BEHAVIORAL,act_utl_m8,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m8,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
act_utl_m9,ORIGINAL_BEHAVIORAL,act_utl_m9,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m9,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
act_utl_m10,ORIGINAL_BEHAVIORAL,act_utl_m10,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m10,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
act_utl_m11,ORIGINAL_BEHAVIORAL,act_utl_m11,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m11,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
act_utl_m12,ORIGINAL_BEHAVIORAL,act_utl_m12,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m12,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
act_dueutl_m2,ORIGINAL_BEHAVIORAL,act_dueutl_m2,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m2,False,True,False,True,False,medium,"early behavioral (m1-m3), post-origination"
act_dueutl_m3,ORIGINAL_BEHAVIORAL,act_dueutl_m3,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m3,False,True,False,True,False,medium,"early behavioral (m1-m3), post-origination"
act_dueutl_m4,ORIGINAL_BEHAVIORAL,act_dueutl_m4,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m4,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
act_dueutl_m5,ORIGINAL_BEHAVIORAL,act_dueutl_m5,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m5,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
act_dueutl_m6,ORIGINAL_BEHAVIORAL,act_dueutl_m6,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m6,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
act_dueutl_m7,ORIGINAL_BEHAVIORAL,act_dueutl_m7,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m7,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
act_dueutl_m8,ORIGINAL_BEHAVIORAL,act_dueutl_m8,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m8,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
act_dueutl_m9,ORIGINAL_BEHAVIORAL,act_dueutl_m9,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m9,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
act_dueutl_m10,ORIGINAL_BEHAVIORAL,act_dueutl_m10,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m10,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
act_dueutl_m11,ORIGINAL_BEHAVIORAL,act_dueutl_m11,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m11,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
act_dueutl_m12,ORIGINAL_BEHAVIORAL,act_dueutl_m12,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m12,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
act_cc_m1,ORIGINAL_BEHAVIORAL,act_cc_m1,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m1,False,True,False,True,False,medium,"early behavioral (m1-m3), post-origination"
act_cc_m2,ORIGINAL_BEHAVIORAL,act_cc_m2,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m2,False,True,False,True,False,medium,"early behavioral (m1-m3), post-origination"
act_cc_m3,ORIGINAL_BEHAVIORAL,act_cc_m3,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m3,False,True,False,True,False,medium,"early behavioral (m1-m3), post-origination"
act_cc_m4,ORIGINAL_BEHAVIORAL,act_cc_m4,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m4,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
act_cc_m5,ORIGINAL_BEHAVIORAL,act_cc_m5,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m5,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
act_cc_m6,ORIGINAL_BEHAVIORAL,act_cc_m6,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m6,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
act_cc_m7,ORIGINAL_BEHAVIORAL,act_cc_m7,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m7,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
act_cc_m8,ORIGINAL_BEHAVIORAL,act_cc_m8,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m8,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
act_cc_m9,ORIGINAL_BEHAVIORAL,act_cc_m9,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m9,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
act_cc_m10,ORIGINAL_BEHAVIORAL,act_cc_m10,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m10,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
act_cc_m11,ORIGINAL_BEHAVIORAL,act_cc_m11,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m11,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
act_cc_m12,ORIGINAL_BEHAVIORAL,act_cc_m12,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m12,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
act_dueinc_m2,ORIGINAL_BEHAVIORAL,act_dueinc_m2,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m2,False,True,False,True,False,medium,"early behavioral (m1-m3), post-origination"
act_dueinc_m3,ORIGINAL_BEHAVIORAL,act_dueinc_m3,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m3,False,True,False,True,False,medium,"early behavioral (m1-m3), post-origination"
act_dueinc_m4,ORIGINAL_BEHAVIORAL,act_dueinc_m4,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m4,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
act_dueinc_m5,ORIGINAL_BEHAVIORAL,act_dueinc_m5,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m5,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
act_dueinc_m6,ORIGINAL_BEHAVIORAL,act_dueinc_m6,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m6,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
act_dueinc_m7,ORIGINAL_BEHAVIORAL,act_dueinc_m7,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m7,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
act_dueinc_m8,ORIGINAL_BEHAVIORAL,act_dueinc_m8,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m8,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
act_dueinc_m9,ORIGINAL_BEHAVIORAL,act_dueinc_m9,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m9,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
act_dueinc_m10,ORIGINAL_BEHAVIORAL,act_dueinc_m10,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m10,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
act_dueinc_m11,ORIGINAL_BEHAVIORAL,act_dueinc_m11,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m11,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
act_dueinc_m12,ORIGINAL_BEHAVIORAL,act_dueinc_m12,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m12,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
act_days_m2,ORIGINAL_BEHAVIORAL,act_days_m2,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m2,False,True,False,True,False,medium,"early behavioral (m1-m3), post-origination"
act_days_m3,ORIGINAL_BEHAVIORAL,act_days_m3,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m3,False,True,False,True,False,medium,"early behavioral (m1-m3), post-origination"
act_days_m4,ORIGINAL_BEHAVIORAL,act_days_m4,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m4,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
act_days_m5,ORIGINAL_BEHAVIORAL,act_days_m5,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m5,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
act_days_m6,ORIGINAL_BEHAVIORAL,act_days_m6,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m6,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
act_days_m7,ORIGINAL_BEHAVIORAL,act_days_m7,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m7,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
act_days_m8,ORIGINAL_BEHAVIORAL,act_days_m8,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m8,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
act_days_m9,ORIGINAL_BEHAVIORAL,act_days_m9,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m9,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
act_days_m10,ORIGINAL_BEHAVIORAL,act_days_m10,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m10,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
act_days_m11,ORIGINAL_BEHAVIORAL,act_days_m11,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m11,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
act_days_m12,ORIGINAL_BEHAVIORAL,act_days_m12,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m12,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
act_loaninc_m1,ORIGINAL_BEHAVIORAL,act_loaninc_m1,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m1,False,True,False,True,False,medium,"early behavioral (m1-m3), post-origination"
act_loaninc_m2,ORIGINAL_BEHAVIORAL,act_loaninc_m2,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m2,False,True,False,True,False,medium,"early behavioral (m1-m3), post-origination"
act_loaninc_m3,ORIGINAL_BEHAVIORAL,act_loaninc_m3,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m3,False,True,False,True,False,medium,"early behavioral (m1-m3), post-origination"
act_loaninc_m4,ORIGINAL_BEHAVIORAL,act_loaninc_m4,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m4,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
act_loaninc_m5,ORIGINAL_BEHAVIORAL,act_loaninc_m5,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m5,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
act_loaninc_m6,ORIGINAL_BEHAVIORAL,act_loaninc_m6,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m6,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
act_loaninc_m7,ORIGINAL_BEHAVIORAL,act_loaninc_m7,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m7,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
act_loaninc_m8,ORIGINAL_BEHAVIORAL,act_loaninc_m8,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m8,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
act_loaninc_m9,ORIGINAL_BEHAVIORAL,act_loaninc_m9,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m9,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
act_loaninc_m10,ORIGINAL_BEHAVIORAL,act_loaninc_m10,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m10,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
act_loaninc_m11,ORIGINAL_BEHAVIORAL,act_loaninc_m11,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m11,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
act_loaninc_m12,ORIGINAL_BEHAVIORAL,act_loaninc_m12,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m12,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
coll_status_m2,ORIGINAL_BEHAVIORAL,coll_status_m2,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m2,False,True,False,True,False,medium,"early behavioral (m1-m3), post-origination"
coll_status_m3,ORIGINAL_BEHAVIORAL,coll_status_m3,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m3,False,True,False,True,False,medium,"early behavioral (m1-m3), post-origination"
coll_status_m4,ORIGINAL_BEHAVIORAL,coll_status_m4,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m4,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
coll_status_m5,ORIGINAL_BEHAVIORAL,coll_status_m5,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m5,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
coll_status_m6,ORIGINAL_BEHAVIORAL,coll_status_m6,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m6,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
coll_status_m7,ORIGINAL_BEHAVIORAL,coll_status_m7,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m7,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
coll_status_m8,ORIGINAL_BEHAVIORAL,coll_status_m8,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m8,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
coll_status_m9,ORIGINAL_BEHAVIORAL,coll_status_m9,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m9,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
coll_status_m10,ORIGINAL_BEHAVIORAL,coll_status_m10,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m10,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
coll_status_m11,ORIGINAL_BEHAVIORAL,coll_status_m11,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m11,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
coll_status_m12,ORIGINAL_BEHAVIORAL,coll_status_m12,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m12,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
act_cus_seniority_m2,ORIGINAL_BEHAVIORAL,act_cus_seniority_m2,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m2,False,True,False,True,False,medium,"early behavioral (m1-m3), post-origination"
act_cus_seniority_m3,ORIGINAL_BEHAVIORAL,act_cus_seniority_m3,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m3,False,True,False,True,False,medium,"early behavioral (m1-m3), post-origination"
act_cus_seniority_m4,ORIGINAL_BEHAVIORAL,act_cus_seniority_m4,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m4,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
act_cus_seniority_m5,ORIGINAL_BEHAVIORAL,act_cus_seniority_m5,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m5,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
act_cus_seniority_m6,ORIGINAL_BEHAVIORAL,act_cus_seniority_m6,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m6,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
act_cus_utl_m1,ORIGINAL_BEHAVIORAL,act_cus_utl_m1,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m1,False,True,False,True,False,medium,"early behavioral (m1-m3), post-origination"
act_cus_utl_m2,ORIGINAL_BEHAVIORAL,act_cus_utl_m2,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m2,False,True,False,True,False,medium,"early behavioral (m1-m3), post-origination"
act_cus_utl_m3,ORIGINAL_BEHAVIORAL,act_cus_utl_m3,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m3,False,True,False,True,False,medium,"early behavioral (m1-m3), post-origination"
act_cus_utl_m4,ORIGINAL_BEHAVIORAL,act_cus_utl_m4,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m4,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
act_cus_utl_m5,ORIGINAL_BEHAVIORAL,act_cus_utl_m5,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m5,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
act_cus_utl_m6,ORIGINAL_BEHAVIORAL,act_cus_utl_m6,raw column from cleaned ABT,original ABT column (ORIGINAL_BEHAVIORAL),post-origination,m6,False,True,False,False,False,high,"late behavioral (m4-m12), post-origination"
